PING 192.168.0.200 (192.168.0.200) 56(84) bytes of data.
64 bytes from 192.168.0.200: icmp_seq=1 ttl=64 time=21.3 ms
64 bytes from 192.168.0.200: icmp_seq=2 ttl=64 time=9.86 ms
64 bytes from 192.168.0.200: icmp_seq=3 ttl=64 time=11.1 ms
64 bytes from 192.168.0.200: icmp_seq=4 ttl=64 time=12.5 ms
64 bytes from 192.168.0.200: icmp_seq=5 ttl=64 time=6.09 ms
64 bytes from 192.168.0.200: icmp_seq=6 ttl=64 time=6.34 ms
64 bytes from 192.168.0.200: icmp_seq=7 ttl=64 time=6.52 ms
64 bytes from 192.168.0.200: icmp_seq=8 ttl=64 time=7.68 ms
64 bytes from 192.168.0.200: icmp_seq=9 ttl=64 time=14.0 ms
64 bytes from 192.168.0.200: icmp_seq=10 ttl=64 time=6.14 ms
64 bytes from 192.168.0.200: icmp_seq=11 ttl=64 time=12.2 ms
64 bytes from 192.168.0.200: icmp_seq=12 ttl=64 time=22.1 ms
64 bytes from 192.168.0.200: icmp_seq=13 ttl=64 time=7.12 ms
64 bytes from 192.168.0.200: icmp_seq=14 ttl=64 time=6.07 ms
64 bytes from 192.168.0.200: icmp_seq=15 ttl=64 time=14.2 ms
64 bytes from 192.168.0.200: icmp_seq=16 ttl=64 time=7.09 ms
64 bytes from 192.168.0.200: icmp_seq=17 ttl=64 time=6.34 ms
64 bytes from 192.168.0.200: icmp_seq=18 ttl=64 time=42.9 ms
64 bytes from 192.168.0.200: icmp_seq=19 ttl=64 time=6.47 ms
64 bytes from 192.168.0.200: icmp_seq=20 ttl=64 time=6.09 ms
64 bytes from 192.168.0.200: icmp_seq=21 ttl=64 time=7.06 ms
64 bytes from 192.168.0.200: icmp_seq=22 ttl=64 time=6.41 ms
64 bytes from 192.168.0.200: icmp_seq=23 ttl=64 time=7.05 ms
64 bytes from 192.168.0.200: icmp_seq=24 ttl=64 time=24.0 ms
64 bytes from 192.168.0.200: icmp_seq=25 ttl=64 time=6.16 ms
64 bytes from 192.168.0.200: icmp_seq=26 ttl=64 time=7.05 ms
64 bytes from 192.168.0.200: icmp_seq=27 ttl=64 time=7.05 ms
64 bytes from 192.168.0.200: icmp_seq=28 ttl=64 time=8.19 ms
64 bytes from 192.168.0.200: icmp_seq=29 ttl=64 time=6.10 ms
64 bytes from 192.168.0.200: icmp_seq=30 ttl=64 time=21.1 ms
64 bytes from 192.168.0.200: icmp_seq=31 ttl=64 time=7.07 ms
64 bytes from 192.168.0.200: icmp_seq=32 ttl=64 time=7.13 ms
64 bytes from 192.168.0.200: icmp_seq=33 ttl=64 time=7.06 ms
64 bytes from 192.168.0.200: icmp_seq=34 ttl=64 time=7.10 ms
64 bytes from 192.168.0.200: icmp_seq=35 ttl=64 time=6.53 ms
64 bytes from 192.168.0.200: icmp_seq=36 ttl=64 time=21.1 ms
64 bytes from 192.168.0.200: icmp_seq=37 ttl=64 time=10.2 ms
64 bytes from 192.168.0.200: icmp_seq=38 ttl=64 time=6.59 ms
64 bytes from 192.168.0.200: icmp_seq=39 ttl=64 time=6.20 ms
64 bytes from 192.168.0.200: icmp_seq=40 ttl=64 time=7.39 ms
64 bytes from 192.168.0.200: icmp_seq=41 ttl=64 time=6.71 ms
64 bytes from 192.168.0.200: icmp_seq=42 ttl=64 time=10.2 ms
64 bytes from 192.168.0.200: icmp_seq=43 ttl=64 time=7.72 ms
64 bytes from 192.168.0.200: icmp_seq=44 ttl=64 time=7.30 ms
64 bytes from 192.168.0.200: icmp_seq=45 ttl=64 time=6.80 ms
64 bytes from 192.168.0.200: icmp_seq=46 ttl=64 time=7.13 ms
64 bytes from 192.168.0.200: icmp_seq=47 ttl=64 time=22.2 ms
64 bytes from 192.168.0.200: icmp_seq=48 ttl=64 time=6.04 ms
64 bytes from 192.168.0.200: icmp_seq=49 ttl=64 time=7.12 ms
64 bytes from 192.168.0.200: icmp_seq=50 ttl=64 time=6.63 ms
64 bytes from 192.168.0.200: icmp_seq=51 ttl=64 time=10.1 ms
64 bytes from 192.168.0.200: icmp_seq=52 ttl=64 time=6.24 ms
64 bytes from 192.168.0.200: icmp_seq=53 ttl=64 time=32.7 ms
64 bytes from 192.168.0.200: icmp_seq=54 ttl=64 time=6.84 ms
64 bytes from 192.168.0.200: icmp_seq=55 ttl=64 time=7.07 ms
64 bytes from 192.168.0.200: icmp_seq=56 ttl=64 time=6.29 ms
64 bytes from 192.168.0.200: icmp_seq=57 ttl=64 time=6.11 ms
64 bytes from 192.168.0.200: icmp_seq=58 ttl=64 time=7.08 ms
64 bytes from 192.168.0.200: icmp_seq=59 ttl=64 time=22.1 ms
64 bytes from 192.168.0.200: icmp_seq=60 ttl=64 time=7.10 ms

--- 192.168.0.200 ping statistics ---
60 packets transmitted, 60 received, 0% packet loss, time 59086ms
rtt min/avg/max/mdev = 6.039/10.303/42.946/7.193 ms
